,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Marble Hill,40.87655078,-73.91065966,Bikram Yoga,40.876843690797934,-73.90620384419528,Yoga Studio
1,Marble Hill,40.87655078,-73.91065966,Arturo's,40.87441177110231,-73.91027100981574,Pizza Place
2,Marble Hill,40.87655078,-73.91065966,Tibbett Diner,40.8804044222466,-73.90893738006402,Diner
3,Marble Hill,40.87655078,-73.91065966,Sam's Pizza,40.87943501792795,-73.90585879861192,Pizza Place
4,Marble Hill,40.87655078,-73.91065966,The Bronx Public,40.87837659295958,-73.90348117090952,Pub
5,Marble Hill,40.87655078,-73.91065966,Vitamin Shoppe,40.87716,-73.905632,Supplement Shop
6,Marble Hill,40.87655078,-73.91065966,Estrellita Poblana V,40.879687039717524,-73.906256832975,Mexican Restaurant
7,Marble Hill,40.87655078,-73.91065966,Rite Aid,40.875466574434704,-73.90890629016033,Pharmacy
8,Marble Hill,40.87655078,-73.91065966,Starbucks,40.87753134921497,-73.90558216359267,Coffee Shop
9,Marble Hill,40.87655078,-73.91065966,Subway,40.8746665302951,-73.9095858429637,Sandwich Place
10,Marble Hill,40.87655078,-73.91065966,El Malecon,40.87933806746814,-73.90445707056641,Caribbean Restaurant
11,Marble Hill,40.87655078,-73.91065966,The Children's Place,40.873671591133125,-73.90815619608166,Kids Store
12,Marble Hill,40.87655078,-73.91065966,Indian Road Café,40.87292174447656,-73.91845881138549,Café
13,Marble Hill,40.87655078,-73.91065966,Garden Gourmet Market,40.88135023917183,-73.90338943716417,Gourmet Shop
14,Marble Hill,40.87655078,-73.91065966,Baskin-Robbins,40.87713228361307,-73.90667840652725,Ice Cream Shop
15,Marble Hill,40.87655078,-73.91065966,TCR The Club of Riverdale,40.8786283,-73.9145678,Tennis Stadium
16,Marble Hill,40.87655078,-73.91065966,Loeser's Delicatessen,40.879111,-73.905693,Sandwich Place
17,Marble Hill,40.87655078,-73.91065966,Picante Picante Mexican Restaurant,40.878252,-73.902936,Mexican Restaurant
18,Marble Hill,40.87655078,-73.91065966,Lot Less Closeouts,40.878270422202085,-73.9052646742604,Discount Store
19,Marble Hill,40.87655078,-73.91065966,Subway,40.878464979323944,-73.9055176422437,Sandwich Place
20,Marble Hill,40.87655078,-73.91065966,Sugarboy Bakery Cafe,40.877947999999996,-73.90286,Bakery
21,Marble Hill,40.87655078,-73.91065966,Lucky Star Chinese Restaurant,40.86964790014166,-73.90350800952127,Chinese Restaurant
22,Marble Hill,40.87655078,-73.91065966,Land & Sea Restaurant,40.87788463309788,-73.90587282193539,Seafood Restaurant
23,Marble Hill,40.87655078,-73.91065966,Guacamole,40.869659000000006,-73.916736,Mexican Restaurant
24,Marble Hill,40.87655078,-73.91065966,Rite Aid,40.878349,-73.917611,Pharmacy
25,Marble Hill,40.87655078,-73.91065966,Enterprise Rent-A-Car,40.879866093214,-73.90384738148896,Rental Car Location
26,Marble Hill,40.87655078,-73.91065966,ALDI,40.8778363,-73.9046557,Supermarket
27,Marble Hill,40.87655078,-73.91065966,Baker Athletic Complex,40.87206097197959,-73.91487585478518,Athletics & Sports
28,Marble Hill,40.87655078,-73.91065966,T.J. Maxx,40.87723198343352,-73.90504239962168,Department Store
29,Marble Hill,40.87655078,-73.91065966,Chase Bank,40.878666,-73.91724,Bank
30,Marble Hill,40.87655078,-73.91065966,TD Bank,40.8794958,-73.9092856,Bank
31,Marble Hill,40.87655078,-73.91065966,Dunkin',40.87713584201589,-73.90666550701411,Donut Shop
32,Marble Hill,40.87655078,-73.91065966,Siam Square,40.8787962348852,-73.91670090763066,Thai Restaurant
33,Marble Hill,40.87655078,-73.91065966,Blink Fitness,40.877271495944626,-73.90559491338075,Gym
34,Marble Hill,40.87655078,-73.91065966,Louie's Dale Diner,40.87870891291501,-73.90431181834758,Burger Joint
35,Marble Hill,40.87655078,-73.91065966,Moss Café: Farm-To-Table Restaurant and Coffee Shop,40.88526883230445,-73.91010325139408,Café
36,Marble Hill,40.87655078,-73.91065966,Parrilla Latina,40.87747294351472,-73.90607346968568,Steakhouse
37,Marble Hill,40.87655078,-73.91065966,Dunkin',40.87930809459452,-73.90506640147964,Donut Shop
38,Marble Hill,40.87655078,-73.91065966,The Local,40.87855275865213,-73.90346176628925,Bar
39,Marble Hill,40.87655078,-73.91065966,Park Terrace Deli,40.87133523036428,-73.91445022648493,Deli / Bodega
40,Marble Hill,40.87655078,-73.91065966,GameStop,40.874266802124836,-73.90934218062803,Video Game Store
41,Marble Hill,40.87655078,-73.91065966,Q'Kachapa,40.880005888670006,-73.9041570896363,Spanish Restaurant
42,Marble Hill,40.87655078,-73.91065966,El Economico Restaurant,40.87933018698782,-73.90459710835415,Spanish Restaurant
43,Marble Hill,40.87655078,-73.91065966,Dunkin',40.87929565446632,-73.90513513194202,Café
44,Marble Hill,40.87655078,-73.91065966,Henry Hudson Memorial Park,40.8807484604287,-73.91918989994824,Park
45,Marble Hill,40.87655078,-73.91065966,Gold Mine Cafe,40.87891576866267,-73.90469763627074,Café
46,Marble Hill,40.87655078,-73.91065966,Cafe Tabaco y Ron,40.86901579447504,-73.9157760815094,Lounge
47,Marble Hill,40.87655078,-73.91065966,Brown Sugar,40.86988290490449,-73.91558637557614,Cuban Restaurant
48,Marble Hill,40.87655078,-73.91065966,MyUnique,40.88196572342435,-73.90358396335206,Thrift / Vintage Store
49,Marble Hill,40.87655078,-73.91065966,Carrot Top Pastries,40.86931876074507,-73.9164306865981,Bakery
50,Marble Hill,40.87655078,-73.91065966,IHOP,40.880422088659074,-73.90401864379297,Breakfast Spot
