Borough,Neighborhood,Cuisine
The Bronx,Bedford Park,"Bedford Park—Mexican, Puerto Rican, Dominican, Korean (on 204th St.)"
The Bronx,Belmont,"Belmont—Italian, Albanian (also known as ""Arthur Avenue,"" ""Little Italy"")"
The Bronx,City Island,"City Island—Italian, seafood"
The Bronx,Morris Park,"Morris Park—Italian, Albanian"
The Bronx,Norwood,"Norwood—Filipino (formerly Irish, less so today)"
The Bronx,Riverdale,Riverdale—Jewish
The Bronx,South Bronx,"South Bronx—Puerto Rican, Dominican"
The Bronx,Wakefield,"Wakefield—Jamaican, West Indian"
The Bronx,Woodlawn,Woodlawn—Irish
Queens,Astoria,"Astoria—Greek, Italian, Eastern-European, Brazilian, Egyptian and other Arabic"
Queens,Bellerose,Bellerose—Indian and Pakistani
Queens,Elmhurst,"Elmhurst—Chinese, Indonesian, Thai, Malaysian, Vietnamese"
Queens,Flushing,Flushing—Chinese and Korean
Queens,Forest Hills,"Forest Hills, Kew Gardens Hills, Rego Park—Jewish, Russian and Uzbek"
Queens,Howard Beach,"Howard Beach, Ozone Park—Italian"
Queens,Glendale,Glendale—German and Polish
Queens,Jackson Heights,"Jackson Heights—Indian, Pakistani, Bangladeshi, Colombian, Ecuadorian, Peruvian, Korean, Filipino, Thai, Tibetan, Bhutanese, Mexican"
Queens,Jamaica,"Jamaica—Bangladeshi, Caribbean, African-American, African, Creole"
Queens,Little Neck,"Little Neck—Arab, Chinese, Italian"
Queens,Richmond Hill,"Richmond Hill; South Ozone Park—Indian, Guyanese, Trinidadian, Pakistani, Bangladeshi"
Queens,The Rockaways,"The Rockaways—Irish, Jewish"
Queens,Woodhaven,"Woodhaven—Irish, Dominican, Mexican, Guyanese"
Queens,Woodside,"Woodside; Sunnyside—Filipino, Irish, Mexican, Tibetan, Romanian"
Brooklyn,Bay Ridge,"Bay Ridge—Irish, Italian, Greek, Turkish, Lebanese, Palestinian, Yemeni and other Arabic"
Brooklyn,Bedford-Stuyvesant,"Bedford-Stuyvesant—African-American, Jamaican, Trinidadian, Puerto Rican and West Indian"
Brooklyn,Bensonhurst,"Bensonhurst—Italian, Chinese, Turkish, Russian, Mexican, Uzbek"
Brooklyn,Borough Park,"Borough Park—Jewish, Italian, Mexican, Chinese"
Brooklyn,Brighton Beach,"Brighton Beach—Russian, Georgian, Turkish, Pakistani and Ukrainian"
Brooklyn,Bushwick,"Bushwick—Puerto Rican, Mexican, Dominican, and Ecuadorian"
Brooklyn,Canarsie,"Canarsie—Jamaican, West Indian, African-American"
Brooklyn,Carroll Gardens,Carroll Gardens—Italian
Brooklyn,Crown Heights,"Crown Heights—Jamaican, West Indian, and Jewish"
Brooklyn,East New York,"East New York—African-American, Dominican, and Puerto Rican"
Brooklyn,Flatbush,"Flatbush—Jamaican, Haitian, and Creole"
Brooklyn,Greenpoint,Greenpoint—Polish and Ukrainian
Brooklyn,Kensington,"Kensington—Bengali, Pakistani, Mexican, Uzbek, and Polish"
Brooklyn,Midwood,"Midwood—Jewish, Italian, Russian, and Pakistani"
Brooklyn,Park Slope,"Park Slope—Italian, Irish, French, and Puerto Rican (formerly)"
Brooklyn,Red Hook,"Red Hook—Puerto Rican, African-American, and Italian"
Brooklyn,Sheepshead Bay,"Sheepshead Bay—Seafood, Chinese, Russian, and Italian"
Brooklyn,Sunset Park,"Sunset Park—Puerto Rican, Chinese, Arab, Mexican and Italian"
Brooklyn,Williamsburg,"Williamsburg—Italian, Jewish, Dominican and Puerto Rican"
Staten Island,Chinatown,Chinatown—Chinese and Vietnamese
Staten Island,East Harlem,"East Harlem—Puerto Rican, Mexican, Dominican, Chinese-Cuban and Italian"
Staten Island,East Village,"East Village—Japanese, Korean, Indian and Ukrainian"
Staten Island,Greenwich Village,Greenwich Village—Italian and Middle Eastern
Staten Island,Harlem,"Harlem—Italian, African-American, Latin American, West Indian, and West African"
Staten Island,Koreatown,Koreatown—Korean
Staten Island,Nolita,Nolita—Australian
Staten Island,Little Italy,Little Italy—Italian
Staten Island,Lower East Side,"Lower East Side—Puerto Rican, Jewish, Italian, and Latin American"
Staten Island,Murray Hill,"Murray Hill—Indian, Pakistani and Bangladeshi"
Staten Island,"Upper West Side, Manhattan","Upper West Side, Manhattan—Jewish, Chinese-Latino"
Staten Island,Washington Heights,"Washington Heights—Dominican, Puerto Rican, Mexican and Jewish"
Staten Island,Upper East Side,"Upper East Side—German, Czech, Hungarian"
Manhattan,Chinatown,Chinatown—Chinese and Vietnamese
Manhattan,East Harlem,"East Harlem—Puerto Rican, Mexican, Dominican, Chinese-Cuban and Italian"
Manhattan,East Village,"East Village—Japanese, Korean, Indian and Ukrainian"
Manhattan,Greenwich Village,Greenwich Village—Italian and Middle Eastern
Manhattan,Harlem,"Harlem—Italian, African-American, Latin American, West Indian, and West African"
Manhattan,Koreatown,Koreatown—Korean
Manhattan,Nolita,Nolita—Australian
Manhattan,Little Italy,Little Italy—Italian
Manhattan,Lower East Side,"Lower East Side—Puerto Rican, Jewish, Italian, and Latin American"
Manhattan,Murray Hill,"Murray Hill—Indian, Pakistani and Bangladeshi"
Manhattan,"Upper West Side, Manhattan","Upper West Side, Manhattan—Jewish, Chinese-Latino"
Manhattan,Washington Heights,"Washington Heights—Dominican, Puerto Rican, Mexican and Jewish"
Manhattan,Upper East Side,"Upper East Side—German, Czech, Hungarian"
